commit,auth_date,author,subject,category
dde728a3,2025-10-05,yangdx,Bump core version to 1.5.0 and API to 0236,dependabot
289337b2,2025-10-11,yangdx,Bump API version to 0237,dependabot
79f623a2,2025-10-12,yangdx,Bump core version to 1.4.9.3,dependabot
f402ad27,2025-10-12,yangdx,Bump API version to 0238,dependabot
a81c122f,2025-10-14,yangdx,Bump API version to 0240,dependabot
f3740d82,2025-10-14,yangdx,Bump API version to 0239,dependabot
91b8722b,2025-10-16,yangdx,Bump core version to 1.4.9.4,dependabot
7bf9d1e8,2025-10-17,yangdx,Bump API version to 0241,dependabot
ef4acf53,2025-10-21,dependabot[bot],"Update pandas requirement from <2.3.0,>=2.0.0 to >=2.0.0,<2.4.0",dependabot
1101562e,2025-10-22,yangdx,Bump API version to 0243,dependabot
fdf0fe04,2025-10-22,yangdx,Bump API version to 0244,dependabot
3eb3a075,2025-10-25,yangdx,Bump core version to 1.4.9.5 and API version to 0245,dependabot
94f24a66,2025-10-27,yangdx,Bump API version to 0246,dependabot
f81dd4e7,2025-10-27,dependabot[bot],"Update redis requirement from <7.0.0,>=5.0.0 to >=5.0.0,<8.0.0",dependabot
4bf41abe,2025-10-28,Daniel.y,Merge pull request #2272 from HKUDS/dependabot/pip/redis-gte-5.0.0-and-lt-8.0.0,dependabot
3a7f7535,2025-10-29,yangdx,Bump core version to 1.4.9.6 and API version to 0248,dependabot
da2e9efd,2025-10-29,yangdx,Bump API version to 0247,dependabot
c9e73bb4,2025-10-30,yangdx,Bump core version to 1.4.9.7 and API version to 0249,dependabot
e5414c61,2025-10-31,yangdx,Bump core version to 1.4.9.8 and API version to 0250,dependabot
5bcd2926,2025-11-06,yangdx,Bump API version to 0251,dependabot
cf732dbf,2025-11-08,yangdx,Bump core version to 1.4.9.9 and API to 0252,dependabot
1f9d0735,2025-11-09,yangdx,Bump API version to 0253,dependabot
9262f66d,2025-11-17,yangdx,Bump API version to 0255,dependabot
d16c7840,2025-11-18,yangdx,Bump API version to 0256,dependabot
f83b475a,2025-11-18,yangdx,Remove Dependabot configuration file,dependabot
881b8d3a,2025-11-28,yangdx,Bump API version to 0257,dependabot
112ed234,2025-12-01,yangdx,Bump API version to 0258,dependabot
13fc9f33,2025-12-02,yangdx,Reduce dependabot open pull request limits,dependabot
381ddfff,2025-12-02,yangdx,Bump API version to 0259,dependabot
883c5dc0,2025-12-02,yangdx,Update dependabot config with new groupings and patterns,dependabot
9425277f,2025-12-02,yangdx,Improve dependabot config with better docs and numpy ignore rule,dependabot
b2f1de4a,2025-12-02,Daniel.y,Merge pull request #2447 from danielaskdd/dependabot,dependabot
f93bda58,2025-12-02,yangdx,Enable numpy updates in dependabot configuration,dependabot
a250d881,2025-10-02,yangdx,Update webui assets,webui
cec784f6,2025-10-02,yangdx,Update webui assets,webui
1574fec7,2025-10-05,yangdx,Update webui assets,webui
b5f83767,2025-10-05,yangdx,Update webui assets,webui
d473f635,2025-10-05,yangdx,Update webui assets,webui
5734f51e,2025-10-12,Daniel.y,Merge pull request #2198 from danielaskdd/webui,webui
8a009899,2025-10-12,yangdx,Update webui assets,webui
e1af1c6d,2025-10-12,yangdx,Update webui assets,webui
c0b1552e,2025-10-14,yangdx,Remove .gitkeep file by ensuring webui dir exists on bun build,webui
df52ce98,2025-10-14,yangdx,Revert vite.config.ts to origin version,webui
8070d0cf,2025-10-17,Daniel.y,Merge pull request #2234 from danielaskdd/fix-webui,webui
80f2e691,2025-11-09,yangdx,Remove redundant i18n import triggered the Vite “dynamic + static import” warning,webui
2539b4e2,2025-11-25,Daniel.y,Merge pull request #2418 from danielaskdd/start-without-webui,webui
48b67d30,2025-11-25,yangdx,Handle missing WebUI assets gracefully without blocking server startup,webui
15bfd9fa,2025-12-01,dependabot[bot],Bump the ui-components group in /lightrag_webui with 7 updates,webui
1f3d7006,2025-12-01,dependabot[bot],Bump @stylistic/eslint-plugin-js from 3.1.0 to 4.4.1 in /lightrag_webui,webui
245c0c32,2025-12-01,dependabot[bot],Bump the build-tools group in /lightrag_webui with 4 updates,webui
587a930b,2025-12-01,dependabot[bot],Bump the react group in /lightrag_webui with 3 updates,webui
9ae1c7fc,2025-12-01,dependabot[bot],Bump react-error-boundary from 5.0.0 to 6.0.0 in /lightrag_webui,webui
e2431b67,2025-12-01,dependabot[bot],Bump @vitejs/plugin-react-swc from 3.11.0 to 4.2.0 in /lightrag_webui,webui
f4acb25c,2025-12-01,dependabot[bot],Bump the frontend-minor-patch group in /lightrag_webui with 6 updates,webui
09aa8483,2025-12-02,yangdx,Merge branch 'dependabot/bun/lightrag_webui/stylistic/eslint-plugin-js-4.4.1',webui
0c2a653c,2025-12-02,yangdx,Merge branch 'main' into dependabot/bun/lightrag_webui/vitejs/plugin-react-swc-4.2.0,webui
0ca71a57,2025-12-02,dependabot[bot],Bump sonner from 1.7.4 to 2.0.7 in /lightrag_webui,webui
0d89cd26,2025-12-02,Daniel.y,Merge pull request #2462 from HKUDS/dependabot/bun/lightrag_webui/faker-js/faker-10.1.0,webui
0f045a52,2025-12-02,yangdx,Merge branch 'dependabot/bun/lightrag_webui/vitejs/plugin-react-swc-4.2.0' of github.com:HKUDS/LightRAG into dependabot/bun/lightrag_webui/vitejs/plugin-react-swc-4.2.0,webui
13a285d4,2025-12-02,Daniel.y,Merge pull request #2451 from HKUDS/dependabot/bun/lightrag_webui/build-tools-0944ec6cea,webui
19cae272,2025-12-02,Daniel.y,Merge pull request #2463 from HKUDS/dependabot/bun/lightrag_webui/types/node-24.9.2,webui
1d12f497,2025-12-02,dependabot[bot],Bump i18next from 24.2.3 to 25.6.0 in /lightrag_webui,webui
29bd027a,2025-12-02,dependabot[bot],Bump @vitejs/plugin-react-swc,webui
2bb9ec13,2025-12-02,dependabot[bot],Bump eslint-plugin-react-hooks from 5.2.0 to 7.0.1 in /lightrag_webui,webui
35c79341,2025-12-02,Daniel.y,Merge pull request #2450 from HKUDS/dependabot/bun/lightrag_webui/ui-components-018be29f1c,webui
42b09b10,2025-12-02,dependabot[bot],Bump globals from 15.15.0 to 16.5.0 in /lightrag_webui,webui
57d9cc8f,2025-12-02,Daniel.y,Merge pull request #2464 from HKUDS/dependabot/bun/lightrag_webui/react-syntax-highlighter-16.1.0,webui
59b1b58f,2025-12-02,Daniel.y,Merge pull request #2456 from HKUDS/dependabot/bun/lightrag_webui/globals-16.5.0,webui
5ca4792c,2025-12-02,dependabot[bot],Bump @faker-js/faker from 9.9.0 to 10.1.0 in /lightrag_webui,webui
67d9455c,2025-12-02,Daniel.y,Merge pull request #2466 from HKUDS/dependabot/bun/lightrag_webui/react-i18next-16.2.3,webui
68bee74d,2025-12-02,dependabot[bot],Bump the frontend-minor-patch group in /lightrag_webui with 2 updates,webui
6e2f125a,2025-12-02,Daniel.y,Merge pull request #2471 from HKUDS/dependabot/bun/lightrag_webui/frontend-minor-patch-172e1e6fcf,webui
7545fa72,2025-12-02,dependabot[bot],Bump vite in /lightrag_webui in the build-tools group,webui
7f7ce9d3,2025-12-02,dependabot[bot],Bump i18next in /lightrag_webui in the frontend-minor-patch group,webui
8cdf8a12,2025-12-02,Daniel.y,Merge pull request #2455 from HKUDS/dependabot/bun/lightrag_webui/i18next-25.6.0,webui
964b53e7,2025-12-02,Daniel.y,Merge pull request #2458 from HKUDS/dependabot/bun/lightrag_webui/eslint-plugin-react-hooks-7.0.1,webui
a47414f7,2025-12-02,Daniel.y,Merge pull request #2461 from HKUDS/dependabot/bun/lightrag_webui/sonner-2.0.7,webui
a8e79a8a,2025-12-02,yangdx,Merge remote-tracking branch 'upstream/dependabot/bun/lightrag_webui/react-error-boundary-6.0.0',webui
ab718218,2025-12-02,Daniel.y,Merge pull request #2449 from HKUDS/dependabot/bun/lightrag_webui/react-b0cb288b9e,webui
b2b5f80b,2025-12-02,Daniel.y,Merge pull request #2467 from HKUDS/dependabot/bun/lightrag_webui/build-tools-ecae90f21c,webui
b38f4dd7,2025-12-02,dependabot[bot],Bump react-syntax-highlighter from 15.6.6 to 16.1.0 in /lightrag_webui,webui
bd487a45,2025-12-02,dependabot[bot],Bump @vitejs/plugin-react-swc from 3.11.0 to 4.2.0 in /lightrag_webui,webui
c6c201d7,2025-12-02,Daniel.y,Merge branch 'main' into dependabot/bun/lightrag_webui/frontend-minor-patch-a28ecac770,webui
d3b5cb63,2025-12-02,dependabot[bot],Bump vite from 6.3.6 to 7.1.12 in /lightrag_webui,webui
d5e7b230,2025-12-02,dependabot[bot],Bump @types/node from 22.18.9 to 24.9.2 in /lightrag_webui,webui
dd4c988b,2025-12-02,dependabot[bot],Bump react-markdown from 9.1.0 to 10.1.0 in /lightrag_webui,webui
dd95813f,2025-12-02,Daniel.y,Merge pull request #2465 from HKUDS/dependabot/bun/lightrag_webui/react-markdown-10.1.0,webui
ddd32f58,2025-12-02,Daniel.y,Merge pull request #2470 from HKUDS/dependabot/bun/lightrag_webui/build-tools-939f50a5f3,webui
e20f86a0,2025-12-02,dependabot[bot],Bump react-i18next from 15.7.4 to 16.2.3 in /lightrag_webui,webui
e429d553,2025-12-02,Daniel.y,Merge pull request #2459 from HKUDS/dependabot/bun/lightrag_webui/frontend-minor-patch-9aaf02af10,webui
e547c003,2025-12-02,Daniel.y,Merge pull request #2460 from HKUDS/dependabot/bun/lightrag_webui/vite-7.1.12,webui
e7966712,2025-12-02,Daniel.y,Merge pull request #2452 from HKUDS/dependabot/bun/lightrag_webui/frontend-minor-patch-a28ecac770,webui
ea826a38,2025-12-02,yangdx,Merge branch 'dependabot/bun/lightrag_webui/vitejs/plugin-react-swc-4.2.0',webui
ffcd75a4,2025-09-29,zl7261,decalre targetNode after check sourceNode,misc
1bd84f00,2025-10-01,Roman,Marchuk Merge branch 'main' into fix/dark-mode-graph-text-colors,misc
7297ca1d,2025-10-01,Roman,Marchuk Fix dark mode graph labels for system theme and improve colors,misc
bb6138e7,2025-10-01,yangdx,fix(prompt): Clarify reference section restrictions in prompt templates,misc
f83cde14,2025-10-01,yangdx,fix(prompt): Improve markdown formatting requirements and reference style,misc
112349ed,2025-10-02,yangdx,Modernize type hints and remove Python 3.8 compatibility code,misc
181525ff,2025-10-02,yangdx,Merge branch 'main' into zl7261/main,misc
19a41584,2025-10-02,yangdx,Fix linting,misc
1f07d4b1,2025-10-02,yangdx,Remove .env_example from .gitignore,misc
6bf6f43d,2025-10-02,yangdx,Remove bold formatting from instruction headers in prompts,misc
b1a4e7d7,2025-10-02,yangdx,Fix linting,misc
d2196a4e,2025-10-02,yangdx,Merge remote-tracking branch 'origin/main',misc
d4abe704,2025-10-02,yangdx,Hide dev options in production builds,misc
f6b71536,2025-10-02,yangdx,Merge branch 'main' into fix/dark-mode-graph-text-colors,misc
b9c37bd9,2025-10-03,yangdx,Fix linting,misc
cf2a024e,2025-10-04,Jon,feat: Add endpoint and UI to retry failed documents,misc
0aef6a16,2025-10-05,yangdx,Add theme-aware edge highlighting colors for graph control,misc
0c1cb7b7,2025-10-05,yangdx,Improve document tooltip display with track ID and better formatting,misc
0d694962,2025-10-05,yangdx,Merge branch 'feat/retry-failed-documents-upstream',misc
1b274706,2025-10-05,Daniel.y,Merge pull request #2171 from danielaskdd/doc-name-in-full-docs,misc
4fe41f76,2025-10-05,yangdx,Merge branch 'doc-name-in-full-docs',misc
7b1f8e0f,2025-10-05,yangdx,Update scan tooltip to clarify it also reprocesses failed documents,misc
bf6ca9dd,2025-10-05,yangdx,Add retry failed button translations and standardize button text,misc
d550f1c5,2025-10-05,yangdx,Fix linting,misc
dad90d25,2025-10-05,Daniel.y,Merge pull request #2170 from danielaskdd/tooltips-optimize,misc
6190fa89,2025-10-06,yangdx,Fix linting,misc
d8a9617c,2025-10-06,kevinnkansah,fix: fix: asyncpg bouncer connection pool error,misc
fdcb034d,2025-10-06,kevinnkansah,chore: distinguish settings,misc
ea5e390b,2025-10-07,Daniel.y,Merge pull request #2178 from aleksvujic/patch-1,misc
