commit,auth_date,author,subject,category
72db0426,2025-11-04,yangdx,Update .env loading and add API authentication to RAG evaluator,security
dd18eb5b,2025-11-24,palanisd,Merge pull request #3 from netbrah/copilot/fix-overlap-tokens-validation,security
fc44f113,2025-12-02,yangdx,Remove future dependency and replace passlib with direct bcrypt,security
108cdbe1,2025-10-05,kevinnkansah,feat: add options for PostGres connection,postgres
457d5195,2025-10-05,yangdx,Add doc_name field to full docs storage,postgres
119d2fa1,2025-10-06,Tomek,"Cyran Adding support for imagePullSecrets, envFrom, and deployment strategy in Helm chart",postgres
22a7b482,2025-10-06,kevinnkansah,fix: renamed PostGreSQL options env variable and allowed LRU cache to be an optional env variable,postgres
dd8f44e6,2025-10-07,Aleks,Vujić Fixed typo in log message when creating new graph file,postgres
f2c0b41e,2025-10-07,yangdx,Make PostgreSQL statement_cache_size configuration optional,postgres
577b9e68,2025-10-09,yangdx,Add project intelligence files for AI agent collaboration,postgres
1bf802ee,2025-10-10,yangdx,Add AGENTS.md documentation section for AI coding agent guidance,postgres
6e39c0c0,2025-10-10,yangdx,Rename Agments.md to AGENTS.md and standardize formatting,postgres
8d3b53ce,2025-10-10,yangdx,Condensed AGENTS.md to focus on essential development guidelines,postgres
b3ed2647,2025-10-10,yangdx,Refactor PostgreSQL retry config to use centralized configuration,postgres
b4d61eb8,2025-10-10,Daniel.y,Merge pull request #2192 from danielaskdd/postgres-network-retry,postgres
bd535e3e,2025-10-10,yangdx,Add PostgreSQL connection retry configuration options,postgres
e758204a,2025-10-10,yangdx,Add PostgreSQL connection retry mechanism with comprehensive error handling,postgres
82397834,2025-10-11,Daniel.y,Merge pull request #2195 from danielaskdd/hotfix-postgres,postgres
9be22dd6,2025-10-11,yangdx,Preserve ordering in get_by_ids methods across all storage implementations,postgres
a5c05f1b,2025-10-11,yangdx,Add offline deployment support with cache management and layered deps,postgres
bc1a70ba,2025-10-11,yangdx,Remove explicit protobuf dependency from offline storage requirements,postgres
fbcc35bb,2025-10-11,yangdx,Merge branch 'hotfix-postgres',postgres
e5cbc593,2025-10-14,yangdx,Optimize Docker build with multi-stage frontend compilation,postgres
19c05f9e,2025-10-15,yangdx,Add static 'offline' tag to Docker image metadata,postgres
1fd02b18,2025-10-15,Daniel.y,Merge pull request #2222 from danielaskdd/offline-docker-image,postgres
388dce2e,2025-10-16,yangdx,docs: clarify docling exclusion in offline Docker image,postgres
466de207,2025-10-16,yangdx,Migrate from pip to uv package manager for faster builds,postgres
65c2eb9f,2025-10-16,yangdx,Migrate Dockerfile from pip to uv package manager for faster builds,postgres
daeca17f,2025-10-16,yangdx,Change default docker image to offline version,postgres
ef79821f,2025-10-16,yangdx,Add build script for multi-platform images,postgres
