commit,auth_date,author,subject,category
075399ff,2025-11-12,Daniel.y,Merge pull request #2346 from danielaskdd/optimize-json-sanitization,json
23cbb9c9,2025-11-12,yangdx,Add data sanitization to JSON writing to prevent UTF-8 encoding errors,json
6de4123f,2025-11-12,yangdx,Optimize JSON string sanitization with precompiled regex and zero-copy,json
70cc2419,2025-11-12,yangdx,Fix empty dict handling after JSON sanitization,json
7f54f470,2025-11-12,yangdx,Optimize JSON string sanitization with precompiled regex and zero-copy,json
a08bc726,2025-11-12,yangdx,Fix empty dict handling after JSON sanitization,json
abeaac84,2025-11-12,yangdx,Improve JSON data sanitization to handle tuples and dict keys,json
cca0800e,2025-11-12,yangdx,Fix migration to reload sanitized data and prevent memory corruption,json
d1f4b6e5,2025-11-12,yangdx,Add data sanitization to JSON writing to prevent UTF-8 encoding errors,json
dcf1d286,2025-11-12,yangdx,Fix migration to reload sanitized data and prevent memory corruption,json
f28a0c25,2025-11-12,yangdx,Improve JSON data sanitization to handle tuples and dict keys,json
c46c1b26,2025-10-31,yangdx,Add pycryptodome dependency for PDF encryption support,pdf
61b57cbb,2025-11-01,yangdx,Add PDF decryption support for password-protected files,pdf
ece0398d,2025-11-01,Daniel.y,Merge pull request #2296 from danielaskdd/pdf-decryption,pdf
5a6bb658,2025-11-11,Daniel.y,Merge pull request #2338 from danielaskdd/migrate-to-pypdf,pdf
c434879c,2025-11-11,yangdx,Replace PyPDF2 with pypdf for PDF processing,pdf
fdcb4d0b,2025-11-11,yangdx,Replace PyPDF2 with pypdf for PDF processing,pdf
186c8f0e,2025-11-19,yangdx,Preserve blank paragraphs in DOCX extraction to maintain spacing,docx
4438ba41,2025-11-19,yangdx,Enhance DOCX extraction to preserve document order with tables,docx
95cd0ece,2025-11-19,yangdx,Fix DOCX table extraction by escaping special characters in cells,docx
e7d2803a,2025-11-19,yangdx,Remove text stripping in DOCX extraction to preserve whitespace,docx
fa887d81,2025-11-19,yangdx,Fix table column structure preservation in DOCX extraction,docx
3f6423df,2025-12-01,yangdx,Fix KaTeX extension loading by moving imports to app startup,katex
8f4bfbf1,2025-12-01,yangdx,Add KaTeX copy-tex extension support for formula copying,katex
