commit,auth_date,author,subject,category,priority_idx,git_cherry_pick_cmd
6a8de2ed,2025-09-29,zl7261,web_ui: check node source and target,tests,4,git cherry-pick 6a8de2ed
91387628,2025-10-06,yangdx,Add test script for aquery_data endpoint validation,tests,4,git cherry-pick 91387628
dab1c358,2025-10-17,yangdx,Optimize chat performance by reducing animations in inactive tabs,tests,4,git cherry-pick dab1c358
9e5004e2,2025-10-22,xiaojunxiang,"fix(docs): correct typo ""acivate"" → ""activate""",tests,4,git cherry-pick 9e5004e2
e2ec1cdc,2025-10-25,Daniel.y,Merge pull request #2258 from danielaskdd/pipeline-cancelllation,tests,4,git cherry-pick e2ec1cdc
626b42bc,2025-11-01,anouarbm,feat: add optional Langfuse observability integration,tests,4,git cherry-pick 626b42bc
5cdb4b0e,2025-11-02,anouarbm,fix: Apply ruff formatting and rename test_dataset to sample_dataset,tests,4,git cherry-pick 5cdb4b0e
b12b693a,2025-11-02,anouarbm,fixed ruff format of csv path,tests,4,git cherry-pick b12b693a
10f6e695,2025-11-03,yangdx,Improve Langfuse integration and stream response cleanup handling,tests,4,git cherry-pick 10f6e695
2fdb5f5e,2025-11-03,anouarbm,chore: trigger CI re-run 2,tests,4,git cherry-pick 2fdb5f5e
36bffe22,2025-11-03,anouarbm,chore: trigger CI re-run,tests,4,git cherry-pick 36bffe22
a172cf89,2025-11-03,anouarbm,feat(evaluation): Add sample documents for reproducible RAGAS testing,tests,4,git cherry-pick a172cf89
a790f081,2025-11-06,yangdx,Refine gitignore to only exclude root-level test files,tests,4,git cherry-pick a790f081
b0d44d28,2025-11-06,yangdx,Add Langfuse observability integration documentation,tests,4,git cherry-pick b0d44d28
2f160652,2025-11-09,yangdx,Refactor keyword_extraction from kwargs to explicit parameter,tests,4,git cherry-pick 2f160652
5885637e,2025-11-12,yangdx,Add specialized JSON string sanitizer to prevent UTF-8 encoding errors,tests,4,git cherry-pick 5885637e
6918a88f,2025-11-12,yangdx,Add specialized JSON string sanitizer to prevent UTF-8 encoding errors,tests,4,git cherry-pick 6918a88f
7d394fb0,2025-11-13,yangdx,Replace asyncio.iscoroutine with inspect.isawaitable for better detection,tests,4,git cherry-pick 7d394fb0
a24d8181,2025-11-13,yangdx,Improve docling integration with macOS compatibility and CLI flag,tests,4,git cherry-pick a24d8181
c230d1a2,2025-11-13,yangdx,Replace asyncio.iscoroutine with inspect.isawaitable for better detection,tests,4,git cherry-pick c230d1a2
c246eff7,2025-11-13,yangdx,Improve docling integration with macOS compatibility and CLI flag,tests,4,git cherry-pick c246eff7
1a183702,2025-11-17,BukeLy,docs: Update test file docstring to reflect all 11 test scenarios,tests,4,git cherry-pick 1a183702
288498cc,2025-11-17,BukeLy,test: Convert test_workspace_isolation.py to pytest style,tests,4,git cherry-pick 288498cc
3806892a,2025-11-17,Daniel.y,Merge pull request #2371 from BukeLy/pytest-style-conversion,tests,4,git cherry-pick 3806892a
3e759f46,2025-11-17,BukeLy,test: Add real integration and E2E tests for workspace isolation,tests,4,git cherry-pick 3e759f46
3ec73693,2025-11-17,BukeLy,test: Enhance E2E workspace isolation detection with content verification,tests,4,git cherry-pick 3ec73693
4742fc8e,2025-11-17,BukeLy,test: Add comprehensive workspace isolation test suite for PR #2366,tests,4,git cherry-pick 4742fc8e
b7b8d156,2025-11-17,yangdx,Refactor pytest dependencies into separate optional group,tests,4,git cherry-pick b7b8d156
cf73cb4d,2025-11-17,yangdx,Remove unused variables from workspace isolation test,tests,4,git cherry-pick cf73cb4d
1fe05df2,2025-11-18,yangdx,Refactor test configuration to use pytest fixtures and CLI options,tests,4,git cherry-pick 1fe05df2
41bf6d02,2025-11-18,yangdx,Fix test to use default workspace parameter behavior,tests,4,git cherry-pick 41bf6d02
472b498a,2025-11-18,yangdx,Replace pytest group reference with explicit dependencies in evaluation,tests,4,git cherry-pick 472b498a
4ea21240,2025-11-18,yangdx,Add GitHub CI workflow and test markers for offline/integration tests,tests,4,git cherry-pick 4ea21240
